YEAR,Bottom,Surface
1982,1.679543952,5.661530501
1983,2.055749035,8.841643316
1984,1.118151173,7.339789888
1985,1.684400405,6.886365438
1986,0.900664692,5.618084203
1987,3.01548346,6.890812091
1988,1.384383007,6.676346039
1989,2.480954387,6.539652405
1990,1.544224644,7.366780602
1991,1.808938168,7.674831162
1992,0.599071395,6.913843378
1993,2.224171171,6.780935083
1994,0.631509985,5.647735633
1995,0.469554216,5.910738861
1996,2.541244774,6.349559882
1997,1.597569374,7.878245658
1998,2.823763523,7.770706026
1999,0.351490969,3.776528247
2000,1.688242319,6.367361504
2001,2.284734155,5.856689416
2002,2.722278033,6.896182539
2003,3.222095004,7.933960245
2004,2.632627637,8.468987112
2005,2.860065504,7.655663327
2006,1.043940211,5.559801073
2007,0.584142625,6.285185578
2008,0.429483505,3.756000788
2009,0.167785489,4.490110837
2010,0.295125025,5.2332622
2011,1.732135701,4.605030599
2012,-0.038808496,4.508160196
2013,0.663387277,5.871460962
2014,2.501354392,8.17386979
2015,2.512878868,7.065672603
2016,3.92022186,9.929426536
2017,1.577602057,8.160054175
2018,4.031282077,7.44837655
2019,3.911916239,9.265983214
2021,3.344471738,7.361974912
2021,3.344471738,7.361974912
2022,2.5607817,7.461
2023,2.3,6.15
