Year	M	Tier	Age3plus	SSB	B0	Bmsy	Fofl	MaxF	Fabc	OFL	MaxABC	ABC
lastyr_this	0.3	1a	10184000	3518000	6728000	2689000	0.422	0.379	0.33	3162000	2837000	2313000
lastyr_next	0.3	1a	9437000	3255000	6728000	2689000	0.422	0.379	0.33	3449000	3095000	2401000
