Year,Model,Area,Biomass,lnsd,sd
2015,xxx,EBS,10271434044,0.074286069,584269862.6
2016,xxx,EBS,7050360943,0.077752085,415293304.1
2017,xxx,EBS,7146978360,0.076161522,414728266.3
2018,xxx,EBS,3929191345,0.089622098,265995615.5
2019,xxx,EBS,7705853087,0.07628374,441520004.2
2020,xxx,EBS,,,
2021,xxx,EBS,4302514001,0.079171348,254938076
2022,xxx,EBS,6051595200,0.081689523,380426992.9
2023,xxx,EBS,4463944204,0.081930065,276677709.6
2024,xxx,EBS,8972432001,0.104687371,706579464.2
1982,xxx,NBS,15710865.93,0.627974415,5475711.469
1983,xxx,NBS,83087425.68,0.546664778,26437952.87
1984,xxx,NBS,17114160.38,0.708439417,6445076.57
1985,xxx,NBS,60349424.41,0.542348855,19092138.92
1986,xxx,NBS,39533917.97,0.673750057,13993224.35
1987,xxx,NBS,73132401.38,0.642758689,26177157.97
1988,xxx,NBS,114179447.5,0.243924831,19296775.46
1989,xxx,NBS,69854387.91,0.555545306,22552920.9
1990,xxx,NBS,27071848.91,0.587790374,8973417.544
1991,xxx,NBS,25006062.3,0.534577537,7854428.716
1992,xxx,NBS,18498651.05,0.693513444,6576655.563
1993,xxx,NBS,38483553.55,0.580422426,12542438.33
1994,xxx,NBS,30961334.18,0.714746526,11013980.22
1995,xxx,NBS,26411135.55,0.680543871,9053186.47
1996,xxx,NBS,43153829.94,0.553893098,13302327.41
1997,xxx,NBS,39841336.1,0.585360827,12545786.45
1998,xxx,NBS,115871551.8,0.452234624,31231194.29
1999,xxx,NBS,39467524.14,0.957875058,15241320.41
2000,xxx,NBS,67146593.47,0.750795229,24201479.31
2001,xxx,NBS,44486363.8,0.791717814,17239271.24
2002,xxx,NBS,96552221.11,0.539792557,28472977.86
2003,xxx,NBS,344569654.1,0.525884894,100043076.8
2004,xxx,NBS,198737805.2,0.537471095,58864992.15
2005,xxx,NBS,118966562,0.523103489,35045257.67
2006,xxx,NBS,24577307.42,0.828304594,9763305.542
2007,xxx,NBS,45964218.75,0.80406384,17625831.96
2008,xxx,NBS,36605678.39,0.795760277,13547295.18
2009,xxx,NBS,21073247.56,0.70717686,7483060.154
2010,xxx,NBS,21358751.87,0.16004606,2545949.826
2011,xxx,NBS,81615670.87,0.627569232,28380644.83
2012,xxx,NBS,120896838.8,0.913304662,47711748.47
2013,xxx,NBS,137016066.2,0.792983496,51579790.03
2014,xxx,NBS,434524057.8,0.682638722,150502781
2015,xxx,NBS,944272808.7,0.602218592,297618928.9
2016,xxx,NBS,1224147757,0.532120586,361719395.2
2017,xxx,NBS,1708063799,0.134684728,175741661
2018,xxx,NBS,337684020.8,0.507685702,102895090.9
2019,xxx,NBS,1551566265,0.114181483,133159244.7
2020,xxx,NBS,310836.2184,1.001028514,154923.621
2021,xxx,NBS,586648546.3,0.127378563,56485869.75
2022,xxx,NBS,479836888.6,0.12638866,46091530.91
2023,xxx,NBS,481443326.7,0.151651447,53396007.19
2024,xxx,NBS,435031569.6,0.580317837,131011806.9
