,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1991,683.5776865,112880.0876,43777.91401,90273.35791,153872.0461,184421.829,497488.473,78130.95721,288014.647,28863.6923,144079.922,18687.56696,91160.64001,22766.49942,53323.87891
2,1992,1102.62271,84678.15041,675761.78,130066.9756,79592.74751,108673.5871,133759.8371,253630.1591,102288.4032,147011.2841,57951.82051,46342.25742,13434.73236,43823.79302,34480.56671
3,1993,66.1760862,7426.337108,260512.446,1146678.408,102976.3942,66160.52151,66364.14051,56464.13501,86182.15541,21160.22248,32683.0453,12357.60793,13469.62988,6761.918465,16115.37716
4,1994,749.518422,30188.76376,55145.32111,361151.313,1059660.052,175694.3921,53531.42031,19105.97847,13140.71668,20163.83098,9715.240314,9381.88063,7554.97261,3964.841733,8296.523956
5,1995,0.01001,514.3487313,72906.75001,146786.6481,395472.518,761106.423,136271.2156,34575.49326,12271.41988,7501.928112,17477.63998,5003.650858,5813.572465,1657.103039,8920.126632
6,1996,0.01001,21661.74906,48084.77563,71786.09711,160974.8914,361906.141,481726.893,184638.424,33635.76239,13448.44254,7948.499906,8813.779684,4335.450832,5834.544733,5304.501818
7,1997,1030.661437,77692.16296,40326.28864,118974.6122,455137.955,288956.822,256371.888,198555.2079,64018.15978,13335.15293,5970.266628,4646.495438,2894.759389,4781.315899,9119.169199
8,1998,288.387876,42025.19085,84532.24361,70495.49831,153354.7163,702792.242,199570.187,131723.4366,110744.1882,27795.32613,6145.318735,5564.851323,2554.789295,2502.242604,4485.32616
9,1999,232.574122,10347.39194,298714.375,225033.344,103037.4746,157017.987,469737.146,130998.4519,56503.03421,33180.52291,3960.07981,2183.842693,856.7273237,477.398846,2061.280631
10,2000,0.01001,16076.79982,82441.64961,428501.215,346512.365,106681.5803,168385.38,357715.947,84913.32941,29722.61381,22045.49003,5245.899744,1418.259091,608.842926,953.442444
11,2001,0.01001,3213.82202,42795.56101,154501.107,581039.831,415044.527,137184.794,129002.9211,157229.59,57854.81591,33643.74151,16205.78064,5486.037232,3091.053124,1948.606281
12,2002,773.336069,47047.12541,108051.6559,217818.117,287550.103,606330.902,267955.745,98464.23941,85885.59081,93924.68941,34608.14121,14401.94032,11043.77581,2955.356071,1814.928131
13,2003,0.01001,14537.70594,411772.506,324118.314,360408.645,301476.089,337593.895,158551.811,49422.63171,39279.39171,35708.84071,22936.31214,6619.17741,3644.751793,3185.389228
14,2004,0.01001,539.1890458,89601.07161,831121.296,480648.05,236817.934,169278.792,156280.836,64958.94841,16118.1062,17061.32811,25272.13073,9448.394445,5918.670281,6872.391205
15,2005,0.01001,4794.922725,52152.25431,392851.182,863793.397,484636.439,159461.8678,68082.21271,66622.23271,30103.69751,9999.11765,9143.208418,3193.846011,2482.031684,3407.546652
16,2006,0.01001,9895.88652,84176.89191,295759.678,619632.534,597614.109,278588.973,107342.9198,48018.54261,38365.70591,17699.07045,8242.374888,8312.301572,5320.452805,7217.231569
17,2007,1659.65951,15740.40241,59186.79561,139160.5781,389416.425,511985.965,300781.142,137084.4771,47608.28041,27511.73001,21870.33365,8918.29043,6530.115455,3405.030449,10792.88503
18,2008,0.01001,25191.42811,58819.66741,79220.41051,147007.514,309671.751,242289.071,148734.019,84275.08591,22177.83321,17567.69148,14435.32812,8632.98139,2769.452506,12654.64667
19,2009,0.01001,1316.264335,175524.081,200579.592,82553.81331,114443.5571,124315.7644,104320.6391,66639.42291,40218.13321,23534.40019,7615.950947,7466.164958,2709.725958,8729.662179
20,2010,1080.865971,26460.16058,31848.66765,559371.81,220484.882,54738.22591,43008.81031,57679.46531,51779.00461,31823.59771,15964.11578,8632.81296,5960.336977,4375.459932,5104.52394
21,2011,382.132801,10353.31385,193325.234,115370.3081,809168.093,284700.26,63564.86371,37514.18531,38494.70221,41410.18791,25804.15768,12465.70798,1758.179183,3976.205402,4329.527471
22,2012,0.01001,22271.67035,116748.2166,946698.186,172786.112,432561.298,141550.7392,36681.20521,17431.76281,14602.36566,15918.74307,13491.82046,7408.031719,6143.460616,3331.263876
23,2013,1845.981107,972.1630639,63950.72361,342392.381,955865.746,194432.701,156538.3296,69971.10861,20678.95411,12750.15246,12754.85585,10850.68928,7832.136402,4806.117283,5704.861853
24,2014,0.01001,39223.06511,31030.7854,167779.249,399292.361,751755.415,210227.072,86232.07261,29830.65217,8966.021175,4490.470271,4525.356669,4564.547716,2764.189695,6021.388966
25,2015,0.01001,15473.07068,632440.232,196403.93,228574.623,384287.025,510140.133,88813.65421,42130.08361,17652.61817,2935.556865,2054.431403,3094.457056,2657.47794,1223.314712
26,2016,0.01001,497.35655,90562.43101,1390295.06,159881.714,174494.884,174787.3638,224671.818,34077.95047,13820.84869,7996.324705,485.20334,1177.049931,669.3406586,995.900792
27,2017,0.01001,2176.131844,28170.15285,549073.706,899023.001,215492.501,147563.0289,122129.1482,97250.34591,21756.10502,7215.204829,5605.538033,493.501161,244.9753129,126.4298807
