year,Bottom,Surface
1982,1.864992799128207,5.5947910226422115
1983,3.043363990050581,8.597592280390678
1984,2.0768587506741456,7.26544513151546
1985,2.3307911761709277,6.614380084105659
1986,1.5678249909975526,5.720614521853702
1987,3.15009990218954,6.849236455561843
1988,2.2251390627053627,6.647132903684473
1989,2.940773276389409,6.790525403186427
1990,2.3724434853814116,7.172272445316243
1991,2.825462638007271,7.855484133272673
1992,1.675863507636635,6.89442915768955
1993,3.131826267349152,7.145212836239977
1994,1.4115775665885841,5.611139866918811
1995,1.4825294519572159,6.093389008454832
1996,3.3537913771476084,6.6863821830973516
1997,2.577555074590094,7.902843501146136
1998,3.432341100713495,7.506835693939864
1999,0.3229345762132017,3.8851550239880575
2000,2.0158676060871503,6.231377119101698
2001,2.4185345149176314,5.858251875369211
2002,3.30981532120528,6.9193288950684995
2003,3.781104538021737,7.833024413452658
2004,3.4163446067595937,8.431674104332139
2005,3.4781123935702274,7.1941629109793475
2006,1.49864958301589,5.632881893988043
2007,1.5188639439618905,6.4644627686851335
2008,0.9692128793831875,4.283411355165847
2009,1.039639803810368,4.678198258784108
2010,0.98789380590508,5.320462089503018
2011,2.299215289654571,5.067307363145926
2012,0.6837490249255233,5.053361102317079
2013,1.640439272424814,6.384187998493589
2014,3.2987253781228505,8.213309250320151
2015,3.3530055457062904,7.175612940097418
2016,4.86591201539803,9.545334644943786
2017,2.5829115659137316,7.957240157840922
2018,4.504969051315349,7.583694598495423
2019,4.86891623492371,9.21855408790274
2021,3.6278237210933018,7.2128900088580306
2022,2.6508737141260417,7.461549427654864
2023,2.1704304747093692,6.336811526784581
2024,2.501193516118581,5.834436022452018
