Year,FMP Area,FMP Subarea,Reporting Area Code,Trip Target Code,Trip Target Name,Species Group Name,Retained/Discarded,Gear Code,Weight Posted (Sum),WED (mmdd)
1991,BSAI,BS,511,B,Pollock - bottom,Pollock,Retained,TRW,943.59,811
1991,BSAI,BS,511,B,Pollock - bottom,Pollock,Retained,TRW,19.94,818
1991,BSAI,BS,511,B,Pollock - bottom,Pollock,Retained,TRW,3.58,901
1991,BSAI,BS,511,B,Pollock - bottom,Pollock,Retained,TRW,93.6,908
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,HAL,0.05,106
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,HAL,0.04,331
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,HAL,0.03,714
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,HAL,0.05,721
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,POT,0.03,707
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,POT,0.01,811
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,POT,0.02,818
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,POT,1.37,1013
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,18.93,106
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,76.39,113
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,17.21,120
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,90.4,127
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,27.99,203
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,42.48,210
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,226.47,217
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,20.75,310
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,111.45,331
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,52.16,407
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,411.55,414
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,98.26,421
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,161.31,428
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,15.21,505
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,217.68,512
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Discarded,TRW,54.61,519
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,POT,0.01,818
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,4.59,106
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,22.07,113
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,0.72,120
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,10.26,127
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,76.17,217
1991,BSAI,BS,511,C,Pacific Cod,Pollock,Retained,TRW,44.34,421
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,11.62,505
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,12.43,512
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,20.3,519
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,0.87,623
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,9.08,901
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Discarded,TRW,0.23,915
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Retained,TRW,24.8,505
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Retained,TRW,4.5,512
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Retained,TRW,35.42,519
1991,BSAI,BS,511,F,Other Flatfish - BSAI,Pollock,Retained,TRW,0.15,901
1991,BSAI,BS,511,O,Other Species,Pollock,Discarded,TRW,32.41,414
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,208.7,106
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,478.65,113
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,751.11,127
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,65.79,203
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,195.75,210
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,31.77,217
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,797.43,224
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,8.76,324
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,202.89,609
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,19.93,623
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,124.53,630
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,4.01,804
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Discarded,TRW,64.52,811
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,916.79,106
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,7187.72,113
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,887.27,120
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,3123.03,127
1991,BSAI,BS,511,P,Pollock - midwater,Pollock,Retained,TRW,1617.54,203
