546627 289454 190918 278486 255985 257698 424399 341623 386284 193864 233129 209355 252958 287656 120811 158811 109978 136014 230345 147145 223121 479651 155753 189416 119759 222555 116890 75643.246694 157533 94642.562442 135326 200942 320880 259626 191094 174488 132465 242645 69135.0571 168937 77332.246606 279478
289454 1408690 462345 602153 503897 598249 987279 848253 939757 484572 442021 445272 502919 629116 273671 343393 202194 390673 547007 316912 474880 554922 317245 506075 238968 513944 238679 165444 350894 213930 304724 442793 719140 604508 377464 378584 258220 520615 156054 391572 192062 580660
190918 462345 971053 438074 378533 430555 660127 573798 612997 350905 255381 321263 414636 512169 197596 296705 161700 237282 441280 250697 323204 497002 241498 363272 173713 329335 208274 138094 253642 133012 212744 304272 541983 441810 322376 274418 156985 387976 100849 276865 143116 455848
278486 602153 438074 1052230 497672 617719 922233 745146 936158 543740 347119 415664 473020 488985 244394 324207 210801 355431 525790 316077 403448 794208 298377 463515 214724 435266 241508 175573 324908 210227 250838 370175 653599 518860 396004 349100 268603 450395 136418 337804 178632 543081
255985 503897 378533 497672 1145470 528233 705761 673245 759425 449757 340832 341760 346100 462518 215861 287136 157952 336374 409858 259786 346102 779960 280071 423005 211638 387719 210315 113406 282229 178337 211940 328275 578401 469411 324163 298728 180773 412775 115375 296080 143794 474513
257698 598249 430555 617719 528233 1901210 939127 735824 935551 523155 430901 512824 446420 618331 235418 373981 198567 326136 480750 323383 429474 915628 272406 447676 224153 473571 256096 172337 280078 185181 244160 410724 655330 499094 355937 376882 239508 468960 145396 353896 193803 614828
424399 987279 660127 922233 705761 939127 4004770 1186400 1504820 774901 664776 617961 699506 885559 384341 514679 349886 581294 744495 519845 610919 1053960 523281 686910 317650 724940 429024 242104 509251 312517 366156 568538 1032350 904123 642062 575269 409028 722839 231072 534539 295065 935352
341623 848253 573798 745146 673245 735824 1186400 2169190 1386300 656108 489300 549526 602189 763679 337227 441313 312681 481524 682423 416815 553317 1265620 412563 611727 282896 604912 339811 209298 426419 298618 361070 508435 931808 726763 586811 486550 328948 705000 184931 459860 259041 783563
386284 939757 612997 936158 759425 935551 1504820 1386300 5671450 748396 601038 738075 757527 773379 438497 515187 309127 547669 975067 564589 668283 1214970 469288 668500 320055 668579 404915 277300 561323 327348 403899 639683 1112100 844282 694413 567717 400120 841786 231374 514327 299283 1068540
193864 484572 350905 543740 449757 523155 774901 656108 748396 2013820 339677 338059 381722 450467 208164 238690 162295 278567 499220 267742 327424 748542 285240 426355 193521 386716 189438 134476 255165 136448 222311 316242 545850 385339 380348 285115 210661 390500 93664.886392 291782 142109 430786
