spp_file,Alt,Year,variable,value
EBS_Pollock_2023,2,2037,SSB_mean,2449.65
EBS_Pollock_2023,2,2024,F_lb,0.232579
EBS_Pollock_2023,2,2024,F_ub,0.232579
EBS_Pollock_2023,2,2024,F_median,0.232579
EBS_Pollock_2023,2,2024,F_mean,0.232579
EBS_Pollock_2023,2,2025,F_lb,0.224215
EBS_Pollock_2023,2,2025,F_ub,0.224219
EBS_Pollock_2023,2,2025,F_median,0.224218
EBS_Pollock_2023,2,2025,F_mean,0.224218
EBS_Pollock_2023,2,2026,F_lb,0.385562
EBS_Pollock_2023,2,2026,F_ub,0.385562
EBS_Pollock_2023,2,2026,F_median,0.385562
EBS_Pollock_2023,2,2026,F_mean,0.385562
EBS_Pollock_2023,2,2027,F_lb,0.379679
EBS_Pollock_2023,2,2027,F_ub,0.385562
EBS_Pollock_2023,2,2027,F_median,0.385562
EBS_Pollock_2023,2,2027,F_mean,0.384819
EBS_Pollock_2023,2,2028,F_lb,0.317218
EBS_Pollock_2023,2,2028,F_ub,0.385562
EBS_Pollock_2023,2,2028,F_median,0.379246
EBS_Pollock_2023,2,2028,F_mean,0.365638
EBS_Pollock_2023,2,2029,F_lb,0.28659
EBS_Pollock_2023,2,2029,F_ub,0.385562
EBS_Pollock_2023,2,2029,F_median,0.375856
EBS_Pollock_2023,2,2029,F_mean,0.356672
EBS_Pollock_2023,2,2030,F_lb,0.27285
EBS_Pollock_2023,2,2030,F_ub,0.385562
EBS_Pollock_2023,2,2030,F_median,0.379095
EBS_Pollock_2023,2,2030,F_mean,0.354342
EBS_Pollock_2023,2,2031,F_lb,0.265481
EBS_Pollock_2023,2,2031,F_ub,0.385562
EBS_Pollock_2023,2,2031,F_median,0.385562
EBS_Pollock_2023,2,2031,F_mean,0.353826
EBS_Pollock_2023,2,2032,F_lb,0.26715
EBS_Pollock_2023,2,2032,F_ub,0.385562
EBS_Pollock_2023,2,2032,F_median,0.383382
EBS_Pollock_2023,2,2032,F_mean,0.353275
EBS_Pollock_2023,2,2033,F_lb,0.265009
EBS_Pollock_2023,2,2033,F_ub,0.385562
EBS_Pollock_2023,2,2033,F_median,0.380464
EBS_Pollock_2023,2,2033,F_mean,0.352247
EBS_Pollock_2023,2,2034,F_lb,0.258934
EBS_Pollock_2023,2,2034,F_ub,0.385562
EBS_Pollock_2023,2,2034,F_median,0.377694
EBS_Pollock_2023,2,2034,F_mean,0.352344
EBS_Pollock_2023,2,2035,F_lb,0.261473
EBS_Pollock_2023,2,2035,F_ub,0.385562
EBS_Pollock_2023,2,2035,F_median,0.376102
EBS_Pollock_2023,2,2035,F_mean,0.351478
EBS_Pollock_2023,2,2036,F_lb,0.262597
EBS_Pollock_2023,2,2036,F_ub,0.385562
EBS_Pollock_2023,2,2036,F_median,0.374386
EBS_Pollock_2023,2,2036,F_mean,0.351139
EBS_Pollock_2023,2,2037,F_lb,0.262891
EBS_Pollock_2023,2,2037,F_ub,0.385562
EBS_Pollock_2023,2,2037,F_median,0.376889
EBS_Pollock_2023,2,2037,F_mean,0.350874
EBS_Pollock_2023,3,2024,C_lb,1350
EBS_Pollock_2023,3,2024,C_ub,1350
EBS_Pollock_2023,3,2024,C_median,1350
EBS_Pollock_2023,3,2024,C_mean,1350
EBS_Pollock_2023,3,2024,C_sd,4.77485e-12
EBS_Pollock_2023,3,2025,C_lb,1350
EBS_Pollock_2023,3,2025,C_ub,1350
EBS_Pollock_2023,3,2025,C_median,1350
EBS_Pollock_2023,3,2025,C_mean,1350
EBS_Pollock_2023,3,2025,C_sd,2.45968e-07
EBS_Pollock_2023,3,2026,C_lb,1287.67
EBS_Pollock_2023,3,2026,C_ub,1325.79
EBS_Pollock_2023,3,2026,C_median,1297.5
EBS_Pollock_2023,3,2026,C_mean,1301.11
EBS_Pollock_2023,3,2026,C_sd,13.1658
EBS_Pollock_2023,3,2027,C_lb,1118.29
EBS_Pollock_2023,3,2027,C_ub,1321.02
EBS_Pollock_2023,3,2027,C_median,1174.13
EBS_Pollock_2023,3,2027,C_mean,1191.94
EBS_Pollock_2023,3,2027,C_sd,68.1847
EBS_Pollock_2023,3,2028,C_lb,1019.42
EBS_Pollock_2023,3,2028,C_ub,1399.02
EBS_Pollock_2023,3,2028,C_median,1139.23
EBS_Pollock_2023,3,2028,C_mean,1168.82
EBS_Pollock_2023,3,2028,C_sd,125.977
EBS_Pollock_2023,3,2029,C_lb,961.77
EBS_Pollock_2023,3,2029,C_ub,1536.8
EBS_Pollock_2023,3,2029,C_median,1153.2
EBS_Pollock_2023,3,2029,C_mean,1187.28
EBS_Pollock_2023,3,2029,C_sd,191.15
EBS_Pollock_2023,3,2030,C_lb,907.938
EBS_Pollock_2023,3,2030,C_ub,1655.8
EBS_Pollock_2023,3,2030,C_median,1178.58
EBS_Pollock_2023,3,2030,C_mean,1216.45
EBS_Pollock_2023,3,2030,C_sd,245.736
EBS_Pollock_2023,3,2031,C_lb,850.656
EBS_Pollock_2023,3,2031,C_ub,1725.35
EBS_Pollock_2023,3,2031,C_median,1197.12
EBS_Pollock_2023,3,2031,C_mean,1232.23
EBS_Pollock_2023,3,2031,C_sd,289.653
EBS_Pollock_2023,3,2032,C_lb,819.998
EBS_Pollock_2023,3,2032,C_ub,1735.01
EBS_Pollock_2023,3,2032,C_median,1205.25
EBS_Pollock_2023,3,2032,C_mean,1238.23
